billIndex,billId,billStatus,billType,billTitle
816,s1734-114,REFERRED,s,Expedite Transit Act of 2015
817,s1735-114,REFERRED,s,Undetectable Firearms Modernization Act of 2015
818,s1736-114,REFERRED,s,Incentivizing Offshore Wind Power Act
819,s1737-114,REFERRED,s,Bring Jobs Home Act
820,s1738-114,REFERRED,s,Safer Communities Act of 2015
821,s1739-114,REFERRED,s,Truck Safety Act
822,s174-114,REFERRED,s,Stop Tax Haven Abuse Act
823,s1740-114,REFERRED,s,Equal Dignity for Married Taxpayers Act of 2015
824,s1741-114,REFERRED,s,TESR Act
825,s1742-114,REFERRED,s,Rural Postal Act of 2015
826,s1743-114,REFERRED,s,Motor Vehicle Safety Act of 2015
827,s1744-114,REFERRED,s,Chattahoochee-Oconee National Forest Land Adjustment Act of 2015
828,s1745-114,REFERRED,s,Extracurricular Programs for Indian Children Act of 2015
829,s1746-114,REFERRED,s,RECOVER Act
830,s1747-114,REFERRED,s,North Korea Sanctions Enforcement Act of 2015
831,s1748-114,REFERRED,s,Transportation Infrastructure Grants and Economic Reinvestment Act
832,s1749-114,REFERRED,s,Tribal Tax Incentive for Renewable Energy Act of 2015
833,s175-114,REFERRED,s,Economic Development Through Tribal Land Exchange Act
834,s1750-114,REFERRED,s,Civilian Property Realignment Act of 2015
835,s1751-114,REFERRED,s,Handgun Purchaser Licensing Act
836,s1752-114,REFERRED,s,Criminal Alien Deportation Act
837,s1753-114,REFERRED,s,Rebuilding America's Schools Act
838,s1754-114,REFERRED,s,"A bill to amend title 38, United States Code, to make permanent the temporary increase in number of judges presiding over the United States Court of Appeals for Veterans Claims, and for other purposes."
839,s1755-114,REFERRED,s,A bill to amend the Internal Revenue Code of 1986 to provide for a 5-year extension of the tax credit for residential energy efficient property.
840,s1756-114,REPORTED,s,Small Business Energy Efficiency Act of 2015
841,s1757-114,REFERRED,s,Accelerating Innovation in Medicine Act of 2015
842,s1758-114,REFERRED,s,Control Unlawful Fugitive Felons Act of 2015
843,s1759-114,REFERRED,s,Phone Scam Prevention Act of 2015
844,s176-114,REFERRED,s,W21
845,s1760-114,REFERRED,s,Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2015
846,s1761-114,REPORTED,s,"A bill to take certain Federal land located in Lassen County, California, into trust for the benefit of the Susanville Indian Rancheria, and for other purposes."
847,s1762-114,REFERRED,s,Establishing Mandatory Minimums for Illegal Reentry Act of 2015
848,s1763-114,REFERRED,s,Petroleum Coke Transparency and Public Health Protection Act
849,s1764-114,REFERRED,s,PACT Act
850,s1765-114,REFERRED,s,LGBT Elder Americans Act of 2015
851,s1766-114,REFERRED,s,Restore Honor to Service Members Act
852,s1767-114,REPORTED,s,Combination Product Regulatory Fairness Act of 2016
853,s1768-114,REFERRED,s,Underground Gas Storage Facility Safety Act of 2015
854,s1769-114,REFERRED,s,African Elephant Conservation and Legal Ivory Possession Act of 2015
855,s177-114,REFERRED,s,Data Security and Breach Notification Act of 2015
856,s1770-114,REFERRED,s,"Youth Prison Reduction through Opportunities, Mentoring, Intervention, Support, and Education Act"
857,s1771-114,REFERRED,s,Tribal Employment and Jobs Protection Act
858,s1772-114,REFERRED,s,Schedules That Work Act
859,s1773-114,REFERRED,s,Consumer Reporting Fairness Act of 2015
860,s1774-114,REFERRED,s,Puerto Rico Chapter 9 Uniformity Act of 2015
861,s1775-114,REFERRED,s,World War II Merchant Mariner Service Act
862,s1776-114,REPORTED,s,TIRES Act
863,s1777-114,REPORTED,s,"A bill to amend the Wild and Scenic Rivers Act to authorize the Secretary of Agriculture to maintain or replace certain facilities and structures for commercial recreation services at Smith Gulch in Idaho, and for other purposes."
864,s1778-114,REFERRED,s,TELE-MED Act of 2015
865,s1779-114,REFERRED,s,Financial Services Conflict of Interest Act
866,s178-114,ENACTED:SIGNED,s,Justice for Victims of Trafficking Act of 2015
867,s1780-114,REFERRED,s,Restoring America's Watersheds Act of 2015
868,s1781-114,REFERRED,s,"A bill to amend title 23, United States Code, to modify a provision relating to the obligation and release of funds."
869,s1782-114,REFERRED,s,A bill to permit a State transportation department to approve a justification report for a project to build or modify a freeway-to-crossroad interchange on the Interstate Highway System within a transportation management area in such State.
870,s1783-114,REFERRED,s,"A bill to amend the Omnibus Public Land Management Act of 2009 to clarify a provision relating to the designation of a northern transportation route in Washington County, Utah."
871,s1784-114,REFERRED,s,Federal Prisons Accountability Act of 2015
872,s1785-114,REFERRED,s,Davis-Bacon Repeal Act
873,s1786-114,REFERRED,s,Centennial Monetary Commission Act of 2015
874,s1787-114,REFERRED,s,Full-Service Community Schools Act of 2015
875,s1788-114,REFERRED,s,SAFE KIDS Act
876,s1789-114,REPORTED,s,United States-Jordan Defense Cooperation Act of 2015
877,s179-114,ENACTED:SIGNED,s,"A bill to designate the facility of the United States Postal Service located at 14 3rd Avenue, NW, in Chisholm, Minnesota, as the ""James L. Oberstar Memorial Post Office Building""."
878,s1790-114,REFERRED,s,Safe and Affordable Prescription Drugs Act of 2015
879,s1791-114,REFERRED,s,"A bill to amend the Delta Development Act to include Vernon and Sabine parishes in the definition of the term ""Lower Mississippi""."
880,s1792-114,REFERRED,s,Commuter Benefits Equity Act of 2015
881,s1793-114,REFERRED,s,Promoting Physical Activity for Americans Act
882,s1794-114,REFERRED,s,Stop Arctic Ocean Drilling Act of 2015
883,s1795-114,REFERRED,s,National Disaster Tax Relief Act of 2015
884,s1796-114,REFERRED,s,WIC Act
885,s1797-114,REFERRED,s,Connect with Veterans Act of 2015
886,s1798-114,REFERRED,s,United States Commission on International Religious Freedom Reauthorization Act of 2015
887,s1799-114,REFERRED,s,Community Bank Sensible Regulation Act of 2015
888,s18-114,REFERRED,s,A bill to prohibit authorized committees and leadership PACs from employing the spouse or immediate family members of any candidate or Federal office holder connected to the committee.
889,s180-114,REFERRED,s,"A bill to amend the Internal Revenue Code of 1986 to provide an above-the-line deduction for child care expenses, and for other purposes."
890,s1800-114,REPORTED,s,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2016"
891,s1801-114,REFERRED,s,Agriculture Equipment and Machinery Depreciation Act
892,s1802-114,REFERRED,s,Consumer Financial Choice and Capital Markets Protection Act of 2015
893,s1803-114,REFERRED,s,Improving Coal Combustion Residuals Regulation Act of 2015
894,s1804-114,REFERRED,s,Repeal CFPB Act
895,s1805-114,REFERRED,s,School Lunch Price Protection Act of 2015
896,s1806-114,REFERRED,s,Security and Privacy in Your Car Act of 2015
897,s1807-114,REFERRED,s,Regulatory Impact Scale on the Economy Small Business Act of 2015
898,s1808-114,REPORTED,s,Northern Border Security Review Act
899,s1809-114,REFERRED,s,Simplifying Technical Aspects Regarding Seasonality Act of 2015
900,s181-114,REFERRED,s,Startup Act
901,s1810-114,REFERRED,s,No Exemption for Washington from Obamacare Act
902,s1811-114,REPORTED,s,Superstorm Sandy Relief and Disaster Loan Program Improvement Act of 2015
903,s1812-114,REFERRED,s,Improving Cooperation with States and Local Governments and Preventing the Catch and Release of Criminal Aliens Act of 2015
904,s1813-114,REFERRED,s,A bill to establish a bus state of good repair program.
905,s1814-114,REFERRED,s,Stop Sanctuary Cities Act
906,s1815-114,REFERRED,s,A bill to require a process by which members of the Armed Forces may carry a concealed personal firearm on a military installation.
907,s1816-114,REFERRED,s,Community Bank Access to Capital Act of 2015
908,s1817-114,REPORTED,s,Smarter Regs Act of 2015
909,s1818-114,REPORTED,s,Principled Rulemaking Act of 2015
910,s1819-114,REFERRED,s,Securing Military Personnel Response Firearm Initiative Act
911,s182-114,REFERRED,s,Learning Opportunities Created At Local Level Act
912,s1820-114,REPORTED,s,Early Participation in Regulations Act of 2015
913,s1821-114,REFERRED,s,Armed Forces Self-Defense Act
914,s1822-114,REPORTED,s,"A bill to take certain Federal land located in Tuolumne County, California, into trust for the benefit of the Tuolumne Band of Me-Wuk Indians, and for other purposes."
915,s1823-114,REFERRED,s,"A bill to safeguard military personnel on Armed Forces military installations by repealing bans on military personnel carrying firearms, and for other purposes."
916,s1824-114,REFERRED,s,Finger Lakes National Heritage Area Study Act of 2015
917,s1825-114,REFERRED,s,Nuclear Waste Informed Consent Act
918,s1826-114,ENACTED:SIGNED,s,"A bill to designate the facility of the United States Postal Service located at 99 West 2nd Street in Fond du Lac, Wisconsin, as the Lieutenant Colonel James ""Maggie"" Megellas Post Office."
919,s1827-114,REFERRED,s,Small Business Tax Compliance Relief Act of 2015
920,s1828-114,REFERRED,s,Federal Information Security Management Reform Act of 2015
921,s1829-114,REFERRED,s,Efficient Space Exploration Act
922,s183-114,REFERRED,s,Jobs and Premium Protection Act
923,s1830-114,REFERRED,s,Seniors Mental Health Access Improvement Act of 2015
924,s1831-114,REFERRED,s,PACT Act
925,s1832-114,REFERRED,s,Pay Workers a Living Wage Act
926,s1833-114,REFERRED,s,Access to Healthy Food for Young Children Act
927,s1834-114,REFERRED,s,Lori Jackson Domestic Violence Survivor Protection Act
928,s1835-114,REFERRED,s,Military Facilities Force Protection Act of 2015
929,s1836-114,REFERRED,s,Defund Planned Parenthood Act of 2015
930,s1837-114,REFERRED,s,Drought Recovery and Resilience Act of 2015
931,s1838-114,REFERRED,s,Stop Super PAC-Candidate Coordination Act
932,s1839-114,REFERRED,s,Servicemembers Self-Defense Act of 2015
933,s184-114,ENACTED:SIGNED,s,Native American Children's Safety Act
934,s1840-114,REFERRED,s,Taxpayer Protection and Responsible Resolution Act
935,s1841-114,REFERRED,s,Taxpayer Protection and Responsible Resolution Act
936,s1842-114,REFERRED,s,Protecting American Lives Act
937,s1843-114,REFERRED,s,Criminal Alien Notification Act
938,s1844-114,REFERRED,s,"A bill to amend the Agricultural Marketing Act of 1946 to provide for voluntary country of origin labeling for beef, pork, and chicken."
939,s1845-114,REFERRED,s,"A bill to amend the Wild Free-Roaming Horses and Burros Act to provide for State and tribal management and protection of wild free-roaming horses and burros, and for other purposes."
940,s1846-114,REPORTED,s,CIPA
941,s1847-114,REFERRED,s,"A bill to enhance the accuracy of credit reporting and provide greater rights to consumers who dispute errors in their credit reports, and for other purposes."
942,s1848-114,REFERRED,s,Sound Dollar Act of 2015
943,s1849-114,REFERRED,s,Medicare Patient Empowerment Act of 2015
944,s185-114,REPORTED,s,PATH Act
945,s1850-114,REFERRED,s,Prohibiting Detention of Youth Status Offenders Act of 2015
946,s1851-114,REFERRED,s,Human Rights for Girls Act
947,s1852-114,REFERRED,s,A bill to amend title XIX of the Social Security Act to ensure health insurance coverage continuity for former foster youth.
948,s1853-114,REFERRED,s,A bill to limit the availability of funding for contributions to the United Nations if the arms embargo on Iran pursuant to United Nations Security Council Resolutions 1747 and 1929 is lifted.
949,s1854-114,REFERRED,s,Postal Innovation Act
950,s1855-114,REFERRED,s,A bill to provide special foreign military sales status to the Philippines.
951,s1856-114,REFERRED,s,"A bill to amend title 38, United States Code, to provide for suspension and removal of employees of the Department of Veterans Affairs for performance or misconduct that is a threat to public health or safety and to improve accountability of employees of the Department, and for other purposes."
952,s1857-114,REPORTED,s,Microloan Modernization Act of 2015
953,s1858-114,REFERRED,s,Equality Act
954,s1859-114,REFERRED,s,"A bill to assure equity in contracting between the Federal Government and small business concerns, and for other purposes."
955,s186-114,REFERRED,s,Taxpayer Accountability Act
956,s1860-114,REFERRED,s,A bill to protect and promote international religious freedom.
957,s1861-114,REPORTED,s,A bill to prohibit Federal funding of Planned Parenthood Federation of America.
958,s1862-114,REFERRED,s,VET Act of 2015
959,s1863-114,REFERRED,s,"A bill to award a Congressional Gold Medal to Timothy Nugent, in recognition of his pioneering work on behalf of people with disabilities, including disabled veterans."
960,s1864-114,REPORTED,s,Department of Homeland Security Border Security Metrics Act of 2015
961,s1865-114,REFERRED,s,"A bill to amend the Public Health Service Act with respect to eating disorders, and for other purposes."
962,s1866-114,REPORTED,s,Veterans Small Business Ownership Improvements Act of 2015
963,s1867-114,REFERRED,s,International Megan's Law to Prevent Child Exploitation Through Advanced Notification of Traveling Sex Offenders
964,s1868-114,REPORTED,s,Quarterly Financial Reporting Reauthorization Act of 2015
965,s1869-114,REPORTED,s,A bill to improve Federal network security and authorize and enhance an existing intrusion detection and prevention system for civilian Federal networks.
966,s187-114,REFERRED,s,Tar Sands Tax Loophole Elimination Act
967,s1870-114,REPORTED,s,VET Act of 2016
968,s1871-114,REFERRED,s,Medicare Common Access Card Act of 2015
969,s1872-114,REFERRED,s,Simplifying Financial Aid for Students Act of 2015
970,s1873-114,REPORTED,s,Border Security Technology Accountability Act of 2015
971,s1874-114,REFERRED,s,Employee Rights Act
972,s1875-114,PASS_OVER:SENATE,s,Afghanistan Accountability Act of 2015
973,s1876-114,REFERRED,s,"A bill to rename the Office to Monitor and Combat Trafficking of the Department of State the Bureau to Monitor and Combat Trafficking in Persons and to provide for an Assistant Secretary to head such Bureau, and for other purposes."
974,s1877-114,REFERRED,s,"A bill to require the Attorney General to appoint a special prosecutor to investigate Planned Parenthood, and for other purposes."
975,s1878-114,REPORTED,s,Advancing Hope Act of 2016
976,s1879-114,REPORTED,s,Interior Improvement Act
977,s188-114,REFERRED,s,A bill to ensure that oil transported through the Keystone XL pipeline into the United States is used to reduce United States dependence on Middle Eastern oil.
978,s1880-114,REFERRED,s,Helping Veterans Save for Health Care Act of 2015
979,s1881-114,PROV_KILL:CLOTUREFAILED,s,A bill to prohibit Federal funding of Planned Parenthood Federation of America.
980,s1882-114,REPORTED,s,Nepal Recovery Act
981,s1883-114,REFERRED,s,Childhood Cancer STAR Act
982,s1884-114,REFERRED,s,Medicare Prescription Drug Savings and Choice Act of 2015
983,s1885-114,REFERRED,s,Veteran Housing Stability Act of 2015
984,s1886-114,REPORTED,s,Coordinated Ocean Monitoring and Research Act
985,s1887-114,REFERRED,s,Protect and Preserve International Cultural Property Act
986,s1888-114,REFERRED,s,Unified Savings and Accountability Act
987,s1889-114,REFERRED,s,REBUILD Act
988,s189-114,REFERRED,s,Unfunded Mandates Information and Transparency Act of 2015
989,s1890-114,ENACTED:SIGNED,s,Defend Trade Secrets Act of 2016
990,s1891-114,REFERRED,s,Coal Royalty Fairness Act of 2015
991,s1892-114,REFERRED,s,Teacher Loan Repayment Act of 2015
992,s1893-114,PASS_OVER:SENATE,s,Mental Health Awareness and Improvement Act of 2015
993,s1894-114,REFERRED,s,California Emergency Drought Relief Act of 2015
994,s1895-114,REFERRED,s,Downwinders Compensation Act of 2015
995,s1896-114,REFERRED,s,Payroll Fraud Prevention Act of 2015
996,s1897-114,REFERRED,s,Safer Officers and Safer Citizens Act of 2015
997,s1898-114,REFERRED,s,Sanctuary Regulatory Fairness Act of 2015
998,s1899-114,REFERRED,s,Asylum Seeker Work Authorization Act of 2015
999,s19-114,REFERRED,s,Federal Debt Management Act of 2015
1000,s190-114,REFERRED,s,Imported Seafood Safety Standards Act
1001,s1900-114,REFERRED,s,JOBS Act of 2015
1002,s1901-114,REFERRED,s,Small Business Access to Capital Act of 2015
1003,s1902-114,REFERRED,s,A bill to provide for the treatment and extension of temporary financing of short-time compensation programs.
1004,s1903-114,REFERRED,s,Reducing Disparities Using Care Models and Education Act of 2015
1005,s1904-114,REFERRED,s,Social Security 2100 Act
1006,s1905-114,REFERRED,s,A bill to amend the Internal Revenue Code of 1986 to make permanent the reduced recognition period for built-in gains for S corporations.
1007,s1906-114,REFERRED,s,Orphan Drug Fairness Act
1008,s1907-114,REFERRED,s,Close Big Oil Tax Loopholes Act
1009,s1908-114,REFERRED,s,Protecting Financial Aid for Students and Taxpayers Act
1010,s1909-114,REFERRED,s,Local Zoning Decisions Protection Act of 2015
1011,s191-114,REFERRED,s,Educating Tomorrow's Workforce Act of 2015
1012,s1910-114,REPORTED,s,"Financial Services and General Government Appropriations Act, 2016"
1013,s1911-114,REFERRED,s,Reach Every Mother and Child Act of 2015
1014,s1912-114,REFERRED,s,Native American Voting Rights Act of 2015
1015,s1913-114,REFERRED,s,Stopping Medication Abuse and Protecting Seniors Act of 2015
1016,s1914-114,REFERRED,s,Commonsense Permitting for Job Creation Act of 2015
1017,s1915-114,REPORTED,s,First Responder Anthrax Preparedness Act
1018,s1916-114,REPORTED,s,Rural Health Care Connectivity Act of 2015
1019,s1917-114,REFERRED,s,A bill to prohibit the provision of Federal funds to an entity that receives compensation for facilitating the donation of fetal tissue derived from an abortion.
1020,s1918-114,REFERRED,s,Conserving Ecosystems by Ceasing the Importation of Large (CECIL) Animal Trophies Act
1021,s1919-114,REFERRED,s,Health Care Conscience Rights Act
1022,s192-114,ENACTED:SIGNED,s,Older Americans Act Reauthorization Act of 2016
1023,s1920-114,REFERRED,s,Biennial Report on the Skills Gap Act of 2015
1024,s1921-114,REFERRED,s,Vaccinate America's Children through Complete Information & Education Act of 2015
1025,s1922-114,REFERRED,s,Improving the Quality of Disability Decisions Act of 2015
1026,s1923-114,REFERRED,s,Promoting Opportunity for Disability Benefit Applicants Act
1027,s1924-114,REFERRED,s,Black Hills National Cemetery Boundary Expansion Act
1028,s1925-114,REFERRED,s,A bill to extend the secure rural schools and community self-determination program and to make permanent the payment in lieu of taxes program and the land and water conservation fund.
1029,s1926-114,REFERRED,s,PALS Act
1030,s1927-114,REFERRED,s,Require Evaluation before Implementing Executive Wishlists Act of 2015
1031,s1928-114,REPORTED,s,Native Educator Support and Training Act
1032,s1929-114,REFERRED,s,Disability Fraud Reduction and Unethical Deception (FRAUD) Prevention Act
1033,s193-114,REFERRED,s,Inventoried Roadless Area Management Act
1034,s1930-114,REPORTED,s,Kennesaw Mountain National Battlefield Park Boundary Adjustment Act of 2015
1035,s1931-114,REFERRED,s,A bill to reaffirm that certain land has been taken into trust for the benefit of certain Indian tribes.
1036,s1932-114,REFERRED,s,All Kids Matter Act
1037,s1933-114,REFERRED,s,Electrify Africa Act of 2015
1038,s1934-114,REFERRED,s,Scale-up Manufacturing Investment Company Act of 2015
1039,s1935-114,PASS_OVER:SENATE,s,Waterfront Community Revitalization and Resiliency Act of 2015
1040,s1936-114,REFERRED,s,New Mexico Drought Preparedness Act of 2015
1041,s1937-114,REFERRED,s,Tribal Nutrition Improvement Act of 2015
1042,s1938-114,REFERRED,s,Career-Ready Student Veterans Act of 2015
1043,s1939-114,REFERRED,s,Student Protection and Success Act
1044,s194-114,REFERRED,s,Family Farmer Bankruptcy Clarification Act of 2015
1045,s1940-114,REFERRED,s,Safeguarding American Families and Expanding Social Security Act of 2015
1046,s1941-114,REPORTED,s,"Crags, Colorado Land Exchange Act of 2015"
1047,s1942-114,REPORTED,s,Elkhorn Ranch and White River National Forest Conveyance Act of 2015
1048,s1943-114,REPORTED,s,Shiloh National Military Park Boundary Adjustment and Parker's Crossroads Battlefield Designation Act
1049,s1944-114,REFERRED,s,RED Tape Act of 2015
1050,s1945-114,REFERRED,s,Mental Health Reform Act of 2015
1051,s1946-114,REPORTED,s,Tax Relief Extension Act of 2015
1052,s1947-114,REFERRED,s,Income-Based Repayment Debt Forgiveness Act
1053,s1948-114,REFERRED,s,Access to Fair Financial Options for Repaying Debt Act of 2015
1054,s1949-114,REFERRED,s,Mobile Device Theft Deterrence Act of 2015
1055,s195-114,REFERRED,s,401(Kids) Education Savings Account Act of 2015
1056,s1950-114,REFERRED,s,A bill to amend the National Voter Registration Act of 1993 to provide for online voter registration and for other purposes.
1057,s1951-114,REFERRED,s,A bill to amend the Help America Vote Act of 2002 to require the availability of early voting or no-excuse absentee voting.
1058,s1952-114,REFERRED,s,A bill to amend the National Voter Registration Act of 1993 to modify the procedures for change of address.
1059,s1953-114,REFERRED,s,TRASH Act
1060,s1954-114,REFERRED,s,I Teach Act of 2015
1061,s1955-114,REFERRED,s,Alaska Native Veterans Land Allotment Equity Act
1062,s1956-114,REFERRED,s,Great Lakes Maritime Heritage Assessment Act of 2015
1063,s1957-114,REFERRED,s,State Licensing Efficiency Act of 2015
1064,s1958-114,REFERRED,s,Christopher Bryski Student Loan Protection Act
1065,s1959-114,REFERRED,s,Close the Revolving Door Act of 2015
1066,s196-114,REFERRED,s,Garden Valley Withdrawal Act
1067,s1960-114,REFERRED,s,"A bill to establish a statute of limitations for certain actions of the Securities and Exchange Commission, and for other purposes."
1068,s1961-114,REFERRED,s,Improving the Treatment of the U.S. Territories Under Federal Health Programs Act of 2015
1069,s1962-114,REFERRED,s,A bill to authorize 2 additional district judgeships for the district of Colorado.
1070,s1963-114,REFERRED,s,Bureau of Consumer Financial Protection Advisory Board Enhancement Act
1071,s1964-114,REFERRED,s,Family Stability and Kinship Care Act of 2015
1072,s1965-114,REFERRED,s,Maintaining dignity and Eliminating unnecessary Restrictive Confinement of Youths Act of 2015
1073,s1966-114,REFERRED,s,Hunger Free Summer for Kids Act of 2015
1074,s1967-114,REFERRED,s,"A bill to provide for the conveyance of land of the Illiana Health Care System of the Department of Veterans Affairs in Danville, Illinois."
1075,s1968-114,REFERRED,s,Business Supply Chain Transparency on Trafficking and Slavery Act of 2015
1076,s1969-114,REFERRED,s,Democracy Day Act of 2015
1077,s197-114,REFERRED,s,SMART Act
1078,s1970-114,REFERRED,s,Raising Enrollment with a Government Initiated System for Timely Electoral Registration (REGISTER) Act of 2015
1079,s1971-114,REFERRED,s,California Coastal National Monument Expansion Act
1080,s1972-114,REFERRED,s,Airline Access to Emergency Epinephrine Act of 2015
1081,s1973-114,REFERRED,s,"A bill to amend the Internal Revenue Code of 1986 to expand the deduction for interest on education loans, to extend and expand the deduction for qualified tuition and related expenses, and eliminate the limitation on contributions to Coverdell education savings accounts."
1082,s1974-114,REFERRED,s,Relationship Lending Preservation Act of 2015
1083,s1975-114,REFERRED,s,Sewall-Belmont House Act of 2015
1084,s1976-114,REFERRED,s,Children and Firefighters Protection Act of 2015
1085,s1977-114,REFERRED,s,Gun Violence Intervention Act of 2015
1086,s1978-114,REFERRED,s,SBIC Advisers Relief Act of 2015
1087,s1979-114,REFERRED,s,Bring the Ancient One Home Act of 2015
1088,s198-114,REFERRED,s,Stop Corporate Inversions Act of 2015
1089,s1980-114,REFERRED,s,Alice Paul Congressional Gold Medal Act
1090,s1981-114,REFERRED,s,Equal Employment for All Act of 2015
1091,s1982-114,REFERRED,s,Korean War Veterans Memorial Wall of Remembrance Act of 2015
1092,s1983-114,REPORTED,s,Pechanga Band of Luiseno Mission Indians Water Rights Settlement Act
1093,s1984-114,REFERRED,s,Keeping out Illegal Drugs Act of 2015
1094,s1985-114,REFERRED,s,Southern Utah Open OHV Areas Act
1095,s1986-114,REFERRED,s,Moapa Band of Paiutes Land Conveyance Act
1096,s1987-114,REFERRED,s,Lead Exposure Reduction Amendments Act of 2015
1097,s1988-114,REFERRED,s,Enhancing Security for Military Personnel Act of 2015
1098,s1989-114,REFERRED,s,Primary Care Enhancement Act of 2015
1099,s199-114,REFERRED,s,Gold Butte National Conservation Area Act
1100,s1990-114,REFERRED,s,Federal Computer Security Act
1101,s1991-114,REFERRED,s,Permanent Department of Veterans Affairs Choice Card Act of 2015
1102,s1992-114,REFERRED,s,Protect Our Military Families' 2nd Amendment Rights Act
1103,s1993-114,REFERRED,s,21st Century Conservation Service Corps Act of 2015
1104,s1994-114,REFERRED,s,Tax Relief And #FixTheTrustFund For Infrastructure Certainty Act of 2015
1105,s1995-114,REFERRED,s,Outdoor Recreation Legacy Partnership Grant Program Act of 2015
1106,s1996-114,REFERRED,s,Commonsense Reporting Act of 2015
1107,s1997-114,REFERRED,s,PREPARE Act of 2015
1108,s1998-114,REFERRED,s,Creating Higher Education Affordability Necessary to Compete Economically Act
1109,s1999-114,REFERRED,s,"Caribbean Oil Spill Intervention, Prevention, and Preparedness Act"
1110,s20-114,REFERRED,s,Social Security Lock-Box Act of 2015
1111,s200-114,REFERRED,s,Accurate Budgeting Act
1112,s2000-114,REFERRED,s,Veterans Access to Long Term Care and Health Services Act
1113,s2001-114,REFERRED,s,TIME Act
1114,s2002-114,REFERRED,s,Mental Health and Safe Communities Act of 2015
1115,s2003-114,REFERRED,s,Free Market Energy Act
1116,s2004-114,REFERRED,s,"A bill to amend section 320301 of title 54, United States Code, to modify the authority of the President of the United States to declare national monuments, and for other purposes."
1117,s2005-114,REFERRED,s,Social Security Disability Insurance and Unemployment Benefits Double Dip Elimination Act
1118,s2006-114,REFERRED,s,Regulatory Accountability Act of 2015
1119,s2007-114,REFERRED,s,Federal Cybersecurity Workforce Assessment Act
1120,s2008-114,REFERRED,s,"Transportation, Access, and Opportunity Act of 2015"
1121,s2009-114,REFERRED,s,Bahrain Independent Commission of Inquiry (BICI) Accountability Act of 2015
1122,s201-114,REFERRED,s,Child Custody Protection Act of 2015
1123,s2010-114,REFERRED,s,Expedited Disability Insurance Payments for Terminally Ill Individuals Act of 2015
1124,s2011-114,REPORTED,s,Offshore Production and Energizing National Security Act of 2015
1125,s2012-114,PASS_BACK:HOUSE,s,Energy Policy Modernization Act of 2016
1126,s2013-114,REFERRED,s,Los Angeles Homeless Veterans Leasing Act of 2015
1127,s2014-114,REPORTED,s,Next Generation Researchers Act
1128,s2015-114,REFERRED,s,Protecting Local Business Opportunity Act
1129,s2016-114,REFERRED,s,Responsible Transfer of Firearms Act
1130,s2017-114,REFERRED,s,"A bill to amend the Alaska Native Claims Settlement Act to recognize Alexander Creek, Alaska, as a Native village, and for other purposes."
1131,s2018-114,REPORTED,s,"A bill to convey, without consideration, the reversionary interests of the United States in and to certain non-Federal land in Glennallen, Alaska."
1132,s2019-114,REFERRED,s,Preserve Access to Affordable Generics Act
1133,s202-114,REFERRED,s,A bill to provide for a technical change to the Medicare long-term care hospital moratorium exception.
1134,s2020-114,REFERRED,s,Apprenticeship and Jobs Training Act of 2015
1135,s2021-114,REPORTED,s,Fair Chance Act
1136,s2022-114,REFERRED,s,"A bill to amend title 38, United States Code, to increase the amount of special pension for Medal of Honor recipients, and for other purposes."
1137,s2023-114,REFERRED,s,Prescription Drug Affordability Act of 2015
1138,s2024-114,REFERRED,s,Fort Frederica National Monument Boundary Expansion Act of 2015
1139,s2025-114,REFERRED,s,National Oceans and Coastal Security Act
1140,s2026-114,REFERRED,s,Stop Nuclear Waste by Our Lakes Act of 2015
1141,s2027-114,REFERRED,s,Stop Trafficking in Fentanyl Act of 2015
1142,s2028-114,REFERRED,s,Small Business Lending Enhancement Act of 2015
1143,s2029-114,REFERRED,s,A bill for the relief of Shirley Constantino Tan.
1144,s203-114,REFERRED,s,American Liberty Restoration Act
1145,s2030-114,REPORTED,s,Advancing Targeted Therapies for Rare Diseases Act of 2016
1146,s2031-114,REFERRED,s,American Soda Ash Competitiveness Act
1147,s2032-114,PASS_OVER:SENATE,s,National Bison Legacy Act
1148,s2033-114,REFERRED,s,Federal Employees Paid Parental Leave Act of 2015
1149,s2034-114,REFERRED,s,Thin Blue Line Act
1150,s2035-114,REPORTED,s,Federal Employee Fair Treatment Act of 2015
1151,s2036-114,ENACTED:SIGNED,s,Equity in Government Compensation Act of 2015
1152,s2037-114,REFERRED,s,Pell Grant Restoration Act of 2015
1153,s2038-114,REFERRED,s,Jumpstart GSE Reform Act
1154,s2039-114,REFERRED,s,"A bill to designate the mountain at the Devils Tower National Monument, Wyoming, as Devils Tower, and for other purposes."
1155,s204-114,REFERRED,s,Stop Punishing Innocent Americans Act
1156,s2040-114,PASS_OVER:SENATE,s,Justice Against Sponsors of Terrorism Act
1157,s2041-114,REFERRED,s,Promoting Life-Saving New Therapies for Neonates Act of 2015
1158,s2042-114,REFERRED,s,WAGE Act
1159,s2043-114,REFERRED,s,Know Before You Owe Federal Student Loan Act of 2015
1160,s2044-114,PASS_OVER:SENATE,s,Consumer Review Freedom Act of 2015
1161,s2045-114,REFERRED,s,Middle Class Health Benefits Tax Repeal Act of 2015
