id,sentiment,score_compound,score_neg,score_neu,score_pos
1320428,neu,-0.6808,0.247,0.753,0.0
1320429,neu,0.0,0.0,1.0,0.0
1320430,neu,-0.6275,0.089,0.843,0.068
1320431,neu,-0.8779,0.179,0.821,0.0
1320432,neu,0.8555,0.118,0.601,0.281
1320433,neu,0.128,0.123,0.726,0.151
1320434,neu,-0.4215,0.359,0.641,0.0
1320435,neu,-0.4292,0.102,0.835,0.063
1320436,neu,-0.7752,0.109,0.874,0.017
1320437,neu,0.4404,0.0,0.847,0.153
1320438,neu,0.5859,0.0,0.912,0.088
1320439,neu,-0.552,0.097,0.903,0.0
1320440,neu,-0.3804,0.117,0.805,0.078
1320441,neu,0.6697,0.0,0.64,0.36
1320442,neu,0.0,0.0,1.0,0.0
1320443,neu,-0.9531,0.154,0.782,0.064
1320444,neu,0.8078,0.023,0.858,0.119
1320445,neu,-0.3182,0.361,0.412,0.227
1320446,neu,0.0,0.0,1.0,0.0
1320447,neu,0.0,0.0,1.0,0.0
1320448,neu,-0.7808,0.124,0.839,0.037
1320449,neu,0.4528,0.0,0.853,0.147
1320450,neu,-0.4168,0.112,0.888,0.0
1320451,neu,-0.4404,0.172,0.828,0.0
1320452,neu,0.0,0.0,1.0,0.0
1320453,neu,0.7845,0.058,0.699,0.242
1320454,neu,-0.4101,0.048,0.952,0.0
1320455,neu,0.5371,0.0,0.825,0.175
1320456,neu,-0.7579,0.152,0.848,0.0
1320457,neu,-0.2047,0.052,0.948,0.0
1320458,neu,0.0772,0.0,0.933,0.067
1320459,neu,0.0,0.0,1.0,0.0
1320460,neu,-0.2799,0.209,0.633,0.157
1320461,neu,0.0,0.0,1.0,0.0
1320462,neu,0.0258,0.186,0.62,0.194
1320463,neu,0.8455,0.011,0.916,0.073
1320464,neu,0.0516,0.255,0.479,0.266
1320465,neu,-0.8593,0.193,0.784,0.023
1320466,neu,0.0,0.083,0.833,0.083
1320467,neu,-0.8969,0.221,0.622,0.157
1320468,neu,-0.5423,0.278,0.592,0.13
1320469,neu,-0.9565,0.26,0.713,0.026
1320470,neu,-0.6786,0.314,0.686,0.0
1320471,neu,0.0,0.0,1.0,0.0
1320472,neu,0.101,0.219,0.439,0.342
1320473,neu,-0.3626,0.208,0.66,0.132
1320474,neu,0.2732,0.0,0.704,0.296
1320475,neu,0.0,0.0,1.0,0.0
1320476,neu,-0.5083,0.045,0.943,0.013
1320477,neu,-0.7754,0.313,0.687,0.0
1320478,neg,-0.765,0.569,0.431,0.0
1320479,neu,-0.7841,0.277,0.723,0.0
1320480,neu,0.5994,0.0,0.606,0.394
1320481,neu,0.0,0.0,1.0,0.0
1320482,neu,-0.9496,0.22,0.754,0.026
1320483,neu,-0.7844,0.162,0.838,0.0
1320484,neu,0.0,0.0,1.0,0.0
1320485,neu,-0.4019,0.13,0.87,0.0
1320486,neu,-0.8818,0.127,0.836,0.037
1320487,neu,-0.5106,0.281,0.719,0.0
1320488,neu,-0.3182,0.112,0.804,0.084
1320489,neu,0.3065,0.06,0.826,0.115
1320490,neu,-0.4588,0.338,0.519,0.143
1320491,neu,0.0,0.0,1.0,0.0
1320492,neu,0.5734,0.041,0.887,0.071
1320493,pos,0.0516,0.355,0.263,0.382
1320494,neu,-0.6369,0.286,0.714,0.0
1320495,neu,-0.7003,0.118,0.82,0.062
1320496,neu,-0.9585,0.149,0.801,0.05
1320497,neu,-0.7438,0.123,0.847,0.03
1320498,neu,-0.9072,0.168,0.804,0.028
1320525,neu,0.1426,0.108,0.761,0.131
1320526,neu,0.25,0.0,0.926,0.074
1320527,neu,-0.2023,0.474,0.526,0.0
1320528,neu,0.5859,0.042,0.804,0.155
1320529,neu,-0.5267,0.167,0.833,0.0
1320530,neu,-0.0772,0.118,0.771,0.111
1320531,neu,0.0,0.0,1.0,0.0
1320534,neu,-0.5423,0.159,0.764,0.076
1320535,neu,-0.2824,0.084,0.819,0.096
1320536,neu,0.2023,0.084,0.792,0.124
1320537,neu,0.8652,0.071,0.716,0.213
1320538,pos,0.8316,0.178,0.234,0.589
1320539,neu,-0.0129,0.136,0.729,0.135
1320540,neu,-0.6969,0.452,0.548,0.0
1320541,neu,0.8599,0.104,0.652,0.243
1320542,neu,-0.9531,0.247,0.642,0.111
1320543,neu,0.3612,0.0,0.667,0.333
1320544,neu,-0.9022,0.196,0.686,0.118
1320545,neu,-0.4515,0.114,0.821,0.064
1320546,neu,0.0,0.0,1.0,0.0
1320547,neu,0.9407,0.0,0.809,0.191
1320548,neu,0.0,0.0,1.0,0.0
1320549,neu,0.8268,0.0,0.675,0.325
1320550,neu,0.5267,0.075,0.752,0.173
1320551,neu,0.0,0.0,1.0,0.0
1320552,neu,-0.736,0.131,0.768,0.102
1320553,neu,0.743,0.122,0.549,0.329
1320554,neu,0.5423,0.171,0.52,0.309
1320555,neu,0.0,0.0,1.0,0.0
1320556,neu,0.0,0.0,1.0,0.0
1320557,neu,0.7269,0.0,0.663,0.337
1320558,pos,0.4199,0.0,0.417,0.583
1320559,neu,-0.9171,0.098,0.861,0.041
1320560,pos,0.7184,0.0,0.333,0.667
1320561,neu,-0.128,0.088,0.811,0.1
1320562,neu,0.128,0.0,0.897,0.103
1320563,neu,0.0,0.0,1.0,0.0
1320564,neu,0.0,0.0,1.0,0.0
1320565,neu,-0.3818,0.148,0.852,0.0
1320566,neu,-0.25,0.091,0.909,0.0
1320567,neu,-0.9169,0.239,0.619,0.142
1320568,neu,-0.8591,0.24,0.609,0.151
1320569,neu,0.0,0.0,1.0,0.0
1320630,neu,-0.6739,0.393,0.607,0.0
1320631,neu,-0.9036,0.2,0.76,0.041
1320632,neu,-0.8753,0.148,0.721,0.131
1320633,neu,-0.8957,0.292,0.641,0.067
1320634,neu,0.3919,0.0,0.892,0.108
1320635,neu,-0.1531,0.181,0.664,0.155
1320800,neg,-0.3612,0.556,0.444,0.0
1320801,neu,0.0,0.0,1.0,0.0
1320802,neu,0.0,0.0,1.0,0.0
1320803,neu,-0.8398,0.282,0.655,0.063
1320804,neu,0.0,0.0,1.0,0.0
1320805,neu,-0.9221,0.272,0.543,0.184
1320806,neu,-0.481,0.221,0.779,0.0
1320807,neu,-0.6249,0.291,0.709,0.0
1320808,neu,-0.4988,0.184,0.741,0.075
1320809,neu,-0.2194,0.137,0.722,0.141
1320810,neu,0.128,0.085,0.811,0.104
1320811,neu,0.3182,0.0,0.897,0.103
1320812,neu,0.0,0.0,1.0,0.0
1320813,neu,0.4588,0.0,0.667,0.333
1320814,neu,0.0,0.0,1.0,0.0
1320815,neu,0.54,0.0,0.759,0.241
1320816,neu,-0.296,0.145,0.855,0.0
1320817,neu,-0.25,0.19,0.693,0.117
1320818,neu,-0.3612,0.266,0.591,0.143
1320819,neu,-0.8957,0.232,0.735,0.033
1320820,neu,0.0,0.0,1.0,0.0
1320821,neu,-0.3673,0.104,0.808,0.088
1320822,neu,0.3182,0.107,0.687,0.206
1320823,neu,0.0,0.0,1.0,0.0
1320824,neu,-0.0276,0.115,0.775,0.111
1320825,neu,0.0,0.0,1.0,0.0
1320826,neg,-0.8294,0.564,0.436,0.0
1320827,neu,0.0,0.0,1.0,0.0
1320828,neu,0.931,0.055,0.736,0.21
