"Cliff Johnson"
"Dave Kingman"
"Mickey Klutts"
"Gene Locklear"
"Sparky Lyle"
"Carlos May"
"Larry McCall"
"Thurman Munson"
"Graig Nettles"
"Gil Patterson"
"Marty Perez"
"Lou Piniella"
"Willie Randolph"
"Mickey Rivers"
"Fred Stanley"
"Stan Thomas"
"Dick Tidrow"
"Mike Torrez"
"Roy White"
"Jim Wynn"
"George Zeber"
"Jim Beattie"
"Ron Davis"
"Brian Doyle"
"Rawly Eastwick"
"Damaso Garcia"
"Rich Gossage HOF"
"Mike Heath"
"Jay Johnstone"
"Bob Kammeyer"
"Paul Lindblad"
"Andy Messersmith"
"Dave Rajsich"
"Domingo Ramos"
"Dennis Sherrill"
"Jim Spencer"
"Gary Thomasson"
"Mike Aldrete"
"Brian Boehringer"
"Wade Boggs HOF"
"Ricky Bones"
"Billy Brewer"
"David Cone"
"Mariano Duncan"
"Robert Eenhoorn"
"Cecil Fielder"
"Andy Fox"
"Paul Gibson"
"Joe Girardi"
"Dwight Gooden"
"Charlie Hayes"
"Matt Howard"
"Steve Howe"
"Mark Hutton"
"Dion James"
"Derek Jeter"
"Scott Kamieniecki"
"Pat Kelly"
"Jimmy Key"
"Jim Leyritz"
"Graeme Lloyd"
"Matt Luke"
"Tino Martinez"
"Tim McIntosh"
"Jim Mecir"
"Ramiro Mendoza"
"Jeff Nelson"
"Paul O'Neill"
"Dave Pavlas"
"Andy Pettitte"
"Dale Polley"
"Jorge Posada"
"Tim Raines HOF"
"Mariano Rivera"
"Ruben Rivera"
"Kenny Rogers"
"Ruben Sierra"
"Luis Sojo"
"Darryl Strawberry"
"David Weathers"
"John Wetteland"
"Wally Whitehurst"
"Bob Wickman"
"Bernie Williams"
"Gerald Williams"
"Willie Banks"
"Joe Borowski"
"Ryan Bradley"
"Scott Brosius"
"Jim Bruske"
"Mike Buddie"
"Homer Bush"
"Chad Curtis"
"Chili Davis"
"Todd Erdos"
"Mike Figga"
"Orlando Hernandez"
"Darren Holmes"
"Hideki Irabu"
"Mike Jerzembeck"
"Chuck Knoblauch"
"Ricky Ledee"
"Mike Lowell"
"Shane Spencer"
"Mike Stanton"
"Dale Sveum"
"Jay Tessmer"
"David Wells"
"Clay Bellinger"
"Roger Clemens"
"Tony Fossas"
"Jason Grimsley"
"D'Angelo Jimenez"
"Jeff Juden"
"Jeff Manto"
"Dan Naulty"
"Alfonso Soriano"
"Tony Tarasco"
"Allen Watson"
"Ed Yarnall"
"Jose Canseco"
"Randy Choate"
"Wilson Delgado"
"Craig Dingman"
"Darrell Einertson"
"Ben Ford"
"Glenallen Hill"
"Lance Johnson"
"Felix Jose"
"David Justice"
"Randy Keisler"
"Roberto Kelly"
"Ted Lilly"
"Denny Neagle"
"Luis Polonia"
"Ryan Thompson"
"Chris Turner"
