"Name","Year"
"Red Ruffing HOF",1941
"Marius Russo",1941
"George Selkirk",1941
"Ken Silvestri",1941
"Charley Stanceu",1941
"Johnny Sturm",1941
"George Washburn",1941
"Tiny Bonham",1943
"Hank Borowy",1943
"Marv Breuer",1943
"Tommy Byrne",1943
"Spud Chandler",1943
"Frankie Crosetti",1943
"Bill Dickey HOF",1943
"Atley Donald",1943
"Nick Etten",1943
"Joe Gordon HOF",1943
"Oscar Grimes",1943
"Rollie Hemsley",1943
"Billy Johnson",1943
"Charlie Keller",1943
"Johnny Lindell",1943
"Bud Metheny",1943
"Johnny Murphy",1943
"Aaron Robinson",1943
"Marius Russo",1943
"Ken Sears",1943
"Tuck Stainback",1943
"Snuffy Stirnweiss",1943
"Jim Turner",1943
"Roy Weatherly",1943
"Butch Wensloff",1943
"Bill Zuber",1943
"Rugger Ardizoia",1947
"Yogi Berra HOF",1947
"Bill Bevens",1947
"Bobby Brown",1947
"Tommy Byrne",1947
"Spud Chandler",1947
"Allie Clark",1947
"Frank Colman",1947
"Frankie Crosetti",1947
"Joe DiMaggio HOF",1947
"Karl Drews",1947
"Lonny Frey",1947
"Randy Gumpert",1947
"Tommy Henrich",1947
"Ralph Houk",1947
"Billy Johnson",1947
"Don Johnson",1947
"Charlie Keller",1947
"Johnny Lindell",1947
"Sherm Lollar",1947
"Johnny Lucadello",1947
"Al Lyons",1947
"Ray Mack",1947
"George McQuinn",1947
"Bobo Newsom",1947
"Joe Page",1947
"Jack Phillips",1947
"Mel Queen",1947
"Vic Raschi",1947
"Allie Reynolds",1947
"Phil Rizzuto HOF",1947
"Aaron Robinson",1947
"Ted Sepkowski",1947
"Spec Shea",1947
"Ken Silvestri",1947
"Dick Starr",1947
"Snuffy Stirnweiss",1947
"Butch Wensloff",1947
"Bill Wight",1947
"Hank Bauer",1949
"Yogi Berra HOF",1949
"Bobby Brown",1949
"Ralph Buxton",1949
"Tommy Byrne",1949
"Hugh Casey",1949
"Jerry Coleman",1949
"Joe Collins",1949
"Jim Delsing",1949
"Joe DiMaggio HOF",1949
"Tommy Henrich",1949
"Frank Hiller",1949
"Wally Hood",1949
"Ralph Houk",1949
"Billy Johnson",1949
"Charlie Keller",1949
"Dick Kryhoski",1949
"Johnny Lindell",1949
"Eddie Lopat",1949
"Cliff Mapes",1949
"Cuddles Marshall",1949
"Johnny Mize HOF",1949
"Fenton Mole",1949
"Gus Niarhos",1949
"Joe Page",1949
"Jack Phillips",1949
"Duane Pillette",1949
"Bob Porterfield",1949
"Vic Raschi",1949
"Allie Reynolds",1949
"Phil Rizzuto HOF",1949
"Fred Sanford",1949
"Spec Shea",1949
"Charlie Silvera",1949
"Snuffy Stirnweiss",1949
"Mickey Witek",1949
"Gene Woodling",1949
"Hank Bauer",1950
"Yogi Berra HOF",1950
"Bobby Brown",1950
"Lew Burdette",1950
"Tommy Byrne",1950
"Jerry Coleman",1950
