"Waite Hoyt HOF","Aaron Ward"
"Whitey Witt","Waite Hoyt HOF"
"Sad Sam Jones","Ernie Johnson"
"Ernie Johnson","Carl Mays"
"Mike McNally","Ernie Johnson"
"Ernie Johnson","Bob Meusel"
"Herb Pennock HOF","Ernie Johnson"
"George Pipgras","Ernie Johnson"
"Wally Pipp","Ernie Johnson"
"Oscar Roettger","Ernie Johnson"
"Ernie Johnson","Babe Ruth HOF"
"Wally Schang","Ernie Johnson"
"Everett Scott","Ernie Johnson"
"Ernie Johnson","Bob Shawkey"
"Ernie Johnson","Elmer Smith"
"Ernie Johnson","Aaron Ward"
"Whitey Witt","Ernie Johnson"
"Sad Sam Jones","Carl Mays"
"Sad Sam Jones","Mike McNally"
"Sad Sam Jones","Bob Meusel"
"Sad Sam Jones","Herb Pennock HOF"
"Sad Sam Jones","George Pipgras"
"Wally Pipp","Sad Sam Jones"
"Sad Sam Jones","Oscar Roettger"
"Sad Sam Jones","Babe Ruth HOF"
"Wally Schang","Sad Sam Jones"
"Sad Sam Jones","Everett Scott"
"Sad Sam Jones","Bob Shawkey"
"Sad Sam Jones","Elmer Smith"
"Sad Sam Jones","Aaron Ward"
"Whitey Witt","Sad Sam Jones"
"Mike McNally","Carl Mays"
"Carl Mays","Bob Meusel"
"Herb Pennock HOF","Carl Mays"
"George Pipgras","Carl Mays"
"Wally Pipp","Carl Mays"
"Oscar Roettger","Carl Mays"
"Carl Mays","Babe Ruth HOF"
"Wally Schang","Carl Mays"
"Everett Scott","Carl Mays"
"Carl Mays","Bob Shawkey"
"Elmer Smith","Carl Mays"
"Carl Mays","Aaron Ward"
"Whitey Witt","Carl Mays"
"Mike McNally","Bob Meusel"
"Mike McNally","Herb Pennock HOF"
"Mike McNally","George Pipgras"
"Wally Pipp","Mike McNally"
"Oscar Roettger","Mike McNally"
"Mike McNally","Babe Ruth HOF"
"Wally Schang","Mike McNally"
"Mike McNally","Everett Scott"
"Mike McNally","Bob Shawkey"
"Mike McNally","Elmer Smith"
"Mike McNally","Aaron Ward"
"Whitey Witt","Mike McNally"
"Herb Pennock HOF","Bob Meusel"
"George Pipgras","Bob Meusel"
"Wally Pipp","Bob Meusel"
"Oscar Roettger","Bob Meusel"
"Bob Meusel","Babe Ruth HOF"
"Wally Schang","Bob Meusel"
"Everett Scott","Bob Meusel"
"Bob Shawkey","Bob Meusel"
"Elmer Smith","Bob Meusel"
"Bob Meusel","Aaron Ward"
"Whitey Witt","Bob Meusel"
"Herb Pennock HOF","George Pipgras"
"Wally Pipp","Herb Pennock HOF"
"Oscar Roettger","Herb Pennock HOF"
"Herb Pennock HOF","Babe Ruth HOF"
"Wally Schang","Herb Pennock HOF"
"Herb Pennock HOF","Everett Scott"
"Herb Pennock HOF","Bob Shawkey"
"Herb Pennock HOF","Elmer Smith"
"Herb Pennock HOF","Aaron Ward"
"Whitey Witt","Herb Pennock HOF"
"Wally Pipp","George Pipgras"
"Oscar Roettger","George Pipgras"
"George Pipgras","Babe Ruth HOF"
"Wally Schang","George Pipgras"
"George Pipgras","Everett Scott"
"George Pipgras","Bob Shawkey"
"George Pipgras","Elmer Smith"
"George Pipgras","Aaron Ward"
"Whitey Witt","George Pipgras"
"Wally Pipp","Oscar Roettger"
"Wally Pipp","Babe Ruth HOF"
"Wally Schang","Wally Pipp"
"Wally Pipp","Everett Scott"
"Wally Pipp","Bob Shawkey"
"Wally Pipp","Elmer Smith"
"Wally Pipp","Aaron Ward"
"Whitey Witt","Wally Pipp"
"Oscar Roettger","Babe Ruth HOF"
"Wally Schang","Oscar Roettger"
"Oscar Roettger","Everett Scott"
"Oscar Roettger","Bob Shawkey"
"Oscar Roettger","Elmer Smith"
"Oscar Roettger","Aaron Ward"
"Whitey Witt","Oscar Roettger"
"Wally Schang","Babe Ruth HOF"
"Everett Scott","Babe Ruth HOF"
"Bob Shawkey","Babe Ruth HOF"
"Elmer Smith","Babe Ruth HOF"
"Babe Ruth HOF","Aaron Ward"
"Whitey Witt","Babe Ruth HOF"
"Wally Schang","Everett Scott"
"Wally Schang","Bob Shawkey"
"Wally Schang","Elmer Smith"
"Wally Schang","Aaron Ward"
"Whitey Witt","Wally Schang"
"Everett Scott","Bob Shawkey"
"Everett Scott","Elmer Smith"
"Everett Scott","Aaron Ward"
"Whitey Witt","Everett Scott"
"Elmer Smith","Bob Shawkey"
"Bob Shawkey","Aaron Ward"
"Whitey Witt","Bob Shawkey"
"Elmer Smith","Aaron Ward"
"Whitey Witt","Elmer Smith"
"Whitey Witt","Aaron Ward"
"Walter Beall","Benny Bengough"
"Walter Beall","Pat Collins"
"Walter Beall","Earle Combs HOF"
"Walter Beall","Joe Dugan"
"Walter Beall","Cedric Durst"
"Walter Beall","Mike Gazella"
"Walter Beall","Lou Gehrig HOF"
"Walter Beall","Joe Giard"
"Walter Beall","Johnny Grabowski"
"Walter Beall","Waite Hoyt HOF"
"Walter Beall","Mark Koenig"
"Walter Beall","Tony Lazzeri HOF"
"Walter Beall","Bob Meusel"
"Wilcy Moore","Walter Beall"
"Walter Beall","Ray Morehart"
"Walter Beall","Ben Paschal"
"Walter Beall","Herb Pennock HOF"
"Walter Beall","George Pipgras"
"Walter Beall","Dutch Ruether"
"Walter Beall","Babe Ruth HOF"
"Walter Beall","Bob Shawkey"
"Walter Beall","Urban Shocker"
"Walter Beall","Myles Thomas"
"Walter Beall","Julie Wera"
"Pat Collins","Benny Bengough"
"Earle Combs HOF","Benny Bengough"
"Cedric Durst","Benny Bengough"
"Joe Giard","Benny Bengough"
"Johnny Grabowski","Benny Bengough"
"Mark Koenig","Benny Bengough"
"Tony Lazzeri HOF","Benny Bengough"
"Wilcy Moore","Benny Bengough"
"Ray Morehart","Benny Bengough"
"Benny Bengough","Ben Paschal"
"Dutch Ruether","Benny Bengough"
"Urban Shocker","Benny Bengough"
"Myles Thomas","Benny Bengough"
"Julie Wera","Benny Bengough"
"Pat Collins","Earle Combs HOF"
"Pat Collins","Joe Dugan"
"Pat Collins","Cedric Durst"
"Pat Collins","Mike Gazella"
"Pat Collins","Lou Gehrig HOF"
"Pat Collins","Joe Giard"
"Pat Collins","Johnny Grabowski"
"Waite Hoyt HOF","Pat Collins"
"Pat Collins","Mark Koenig"
"Tony Lazzeri HOF","Pat Collins"
"Pat Collins","Bob Meusel"
"Wilcy Moore","Pat Collins"
"Ray Morehart","Pat Collins"
"Pat Collins","Ben Paschal"
"Pat Collins","Herb Pennock HOF"
"Pat Collins","George Pipgras"
"Pat Collins","Dutch Ruether"
"Pat Collins","Babe Ruth HOF"
"Pat Collins","Bob Shawkey"
"Urban Shocker","Pat Collins"
"Pat Collins","Myles Thomas"
"Pat Collins","Julie Wera"
"Joe Dugan","Earle Combs HOF"
"Earle Combs HOF","Cedric Durst"
"Mike Gazella","Earle Combs HOF"
"Lou Gehrig HOF","Earle Combs HOF"
"Joe Giard","Earle Combs HOF"
"Johnny Grabowski","Earle Combs HOF"
"Waite Hoyt HOF","Earle Combs HOF"
"Mark Koenig","Earle Combs HOF"
"Tony Lazzeri HOF","Earle Combs HOF"
"Earle Combs HOF","Bob Meusel"
"Wilcy Moore","Earle Combs HOF"
"Ray Morehart","Earle Combs HOF"
"Earle Combs HOF","Ben Paschal"
"Herb Pennock HOF","Earle Combs HOF"
"George Pipgras","Earle Combs HOF"
"Earle Combs HOF","Dutch Ruether"
"Earle Combs HOF","Babe Ruth HOF"
"Earle Combs HOF","Bob Shawkey"
"Urban Shocker","Earle Combs HOF"
"Myles Thomas","Earle Combs HOF"
"Julie Wera","Earle Combs HOF"
"Joe Dugan","Cedric Durst"
"Joe Giard","Joe Dugan"
"Johnny Grabowski","Joe Dugan"
"Mark Koenig","Joe Dugan"
"Tony Lazzeri HOF","Joe Dugan"
"Wilcy Moore","Joe Dugan"
"Ray Morehart","Joe Dugan"
"Joe Dugan","Ben Paschal"
"Joe Dugan","Dutch Ruether"
"Urban Shocker","Joe Dugan"
"Myles Thomas","Joe Dugan"
"Julie Wera","Joe Dugan"
"Mike Gazella","Cedric Durst"
"Lou Gehrig HOF","Cedric Durst"
"Joe Giard","Cedric Durst"
"Johnny Grabowski","Cedric Durst"
"Waite Hoyt HOF","Cedric Durst"
"Mark Koenig","Cedric Durst"
"Tony Lazzeri HOF","Cedric Durst"
"Cedric Durst","Bob Meusel"
"Wilcy Moore","Cedric Durst"
"Ray Morehart","Cedric Durst"
"Cedric Durst","Ben Paschal"
"Herb Pennock HOF","Cedric Durst"
"George Pipgras","Cedric Durst"
"Dutch Ruether","Cedric Durst"
"Cedric Durst","Babe Ruth HOF"
"Cedric Durst","Bob Shawkey"
"Urban Shocker","Cedric Durst"
"Myles Thomas","Cedric Durst"
"Julie Wera","Cedric Durst"
"Mike Gazella","Joe Giard"
"Mike Gazella","Johnny Grabowski"
"Mike Gazella","Mark Koenig"
"Tony Lazzeri HOF","Mike Gazella"
"Wilcy Moore","Mike Gazella"
"Ray Morehart","Mike Gazella"
"Mike Gazella","Ben Paschal"
"Mike Gazella","Dutch Ruether"
"Urban Shocker","Mike Gazella"
"Myles Thomas","Mike Gazella"
"Mike Gazella","Julie Wera"
"Lou Gehrig HOF","Joe Giard"
"Lou Gehrig HOF","Johnny Grabowski"
"Mark Koenig","Lou Gehrig HOF"
"Tony Lazzeri HOF","Lou Gehrig HOF"
"Wilcy Moore","Lou Gehrig HOF"
"Ray Morehart","Lou Gehrig HOF"
"Lou Gehrig HOF","Ben Paschal"
"Lou Gehrig HOF","Dutch Ruether"
"Urban Shocker","Lou Gehrig HOF"
"Myles Thomas","Lou Gehrig HOF"
"Lou Gehrig HOF","Julie Wera"
"Johnny Grabowski","Joe Giard"
"Waite Hoyt HOF","Joe Giard"
"Mark Koenig","Joe Giard"
"Tony Lazzeri HOF","Joe Giard"
"Joe Giard","Bob Meusel"
"Wilcy Moore","Joe Giard"
"Ray Morehart","Joe Giard"
"Joe Giard","Ben Paschal"
"Joe Giard","Herb Pennock HOF"
"Joe Giard","George Pipgras"
"Joe Giard","Dutch Ruether"
"Joe Giard","Babe Ruth HOF"
"Joe Giard","Bob Shawkey"
"Urban Shocker","Joe Giard"
"Myles Thomas","Joe Giard"
"Julie Wera","Joe Giard"
"Waite Hoyt HOF","Johnny Grabowski"
"Mark Koenig","Johnny Grabowski"
"Tony Lazzeri HOF","Johnny Grabowski"
"Johnny Grabowski","Bob Meusel"
"Wilcy Moore","Johnny Grabowski"
"Ray Morehart","Johnny Grabowski"
"Johnny Grabowski","Ben Paschal"
"Johnny Grabowski","Herb Pennock HOF"
"Johnny Grabowski","George Pipgras"
"Johnny Grabowski","Dutch Ruether"
"Johnny Grabowski","Babe Ruth HOF"
"Johnny Grabowski","Bob Shawkey"
"Urban Shocker","Johnny Grabowski"
"Myles Thomas","Johnny Grabowski"
"Julie Wera","Johnny Grabowski"
"Waite Hoyt HOF","Mark Koenig"
"Waite Hoyt HOF","Tony Lazzeri HOF"
"Wilcy Moore","Waite Hoyt HOF"
"Waite Hoyt HOF","Ray Morehart"
"Waite Hoyt HOF","Ben Paschal"
"Waite Hoyt HOF","Dutch Ruether"
"Waite Hoyt HOF","Urban Shocker"
"Waite Hoyt HOF","Myles Thomas"
"Waite Hoyt HOF","Julie Wera"
"Tony Lazzeri HOF","Mark Koenig"
"Mark Koenig","Bob Meusel"
"Wilcy Moore","Mark Koenig"
"Ray Morehart","Mark Koenig"
"Mark Koenig","Ben Paschal"
"Mark Koenig","Herb Pennock HOF"
"Mark Koenig","George Pipgras"
"Mark Koenig","Dutch Ruether"
"Mark Koenig","Babe Ruth HOF"
"Mark Koenig","Bob Shawkey"
"Urban Shocker","Mark Koenig"
"Myles Thomas","Mark Koenig"
"Mark Koenig","Julie Wera"
"Tony Lazzeri HOF","Bob Meusel"
"Wilcy Moore","Tony Lazzeri HOF"
"Tony Lazzeri HOF","Ray Morehart"
"Tony Lazzeri HOF","Ben Paschal"
"Tony Lazzeri HOF","Herb Pennock HOF"
"Tony Lazzeri HOF","George Pipgras"
"Tony Lazzeri HOF","Dutch Ruether"
"Tony Lazzeri HOF","Babe Ruth HOF"
"Tony Lazzeri HOF","Bob Shawkey"
"Urban Shocker","Tony Lazzeri HOF"
"Tony Lazzeri HOF","Myles Thomas"
"Tony Lazzeri HOF","Julie Wera"
"Wilcy Moore","Bob Meusel"
"Ray Morehart","Bob Meusel"
"Bob Meusel","Ben Paschal"
"Dutch Ruether","Bob Meusel"
"Urban Shocker","Bob Meusel"
"Myles Thomas","Bob Meusel"
"Julie Wera","Bob Meusel"
"Wilcy Moore","Ray Morehart"
"Wilcy Moore","Ben Paschal"
"Wilcy Moore","Herb Pennock HOF"
"Wilcy Moore","George Pipgras"
"Wilcy Moore","Dutch Ruether"
"Wilcy Moore","Babe Ruth HOF"
"Wilcy Moore","Bob Shawkey"
"Wilcy Moore","Urban Shocker"
"Wilcy Moore","Myles Thomas"
"Wilcy Moore","Julie Wera"
"Ray Morehart","Ben Paschal"
"Ray Morehart","Herb Pennock HOF"
"Ray Morehart","George Pipgras"
"Ray Morehart","Dutch Ruether"
"Ray Morehart","Babe Ruth HOF"
"Ray Morehart","Bob Shawkey"
"Urban Shocker","Ray Morehart"
"Ray Morehart","Myles Thomas"
"Ray Morehart","Julie Wera"
"Herb Pennock HOF","Ben Paschal"
"George Pipgras","Ben Paschal"
"Dutch Ruether","Ben Paschal"
"Ben Paschal","Babe Ruth HOF"
"Bob Shawkey","Ben Paschal"
"Urban Shocker","Ben Paschal"
"Myles Thomas","Ben Paschal"
"Julie Wera","Ben Paschal"
"Herb Pennock HOF","Dutch Ruether"
"Urban Shocker","Herb Pennock HOF"
"Myles Thomas","Herb Pennock HOF"
"Julie Wera","Herb Pennock HOF"
"George Pipgras","Dutch Ruether"
"Urban Shocker","George Pipgras"
"Myles Thomas","George Pipgras"
"Julie Wera","George Pipgras"
"Dutch Ruether","Babe Ruth HOF"
"Dutch Ruether","Bob Shawkey"
"Urban Shocker","Dutch Ruether"
"Myles Thomas","Dutch Ruether"
"Julie Wera","Dutch Ruether"
"Urban Shocker","Babe Ruth HOF"
"Myles Thomas","Babe Ruth HOF"
"Julie Wera","Babe Ruth HOF"
"Urban Shocker","Bob Shawkey"
"Myles Thomas","Bob Shawkey"
"Julie Wera","Bob Shawkey"
"Urban Shocker","Myles Thomas"
"Urban Shocker","Julie Wera"
"Myles Thomas","Julie Wera"
"George Burns","Benny Bengough"
"Benny Bengough","Archie Campbell"
"Stan Coveleski HOF","Benny Bengough"
"Bill Dickey HOF","Benny Bengough"
"Leo Durocher HOF","Benny Bengough"
"Fred Heimach","Benny Bengough"
"Hank Johnson","Benny Bengough"
"Gene Robertson","Benny Bengough"
"Rosy Ryan","Benny Bengough"
"Benny Bengough","Al Shealy"
"Tom Zachary","Benny Bengough"
"George Burns","Archie Campbell"
"Pat Collins","George Burns"
"George Burns","Earle Combs HOF"
"Stan Coveleski HOF","George Burns"
"George Burns","Bill Dickey HOF"
"Joe Dugan","George Burns"
"Leo Durocher HOF","George Burns"
"George Burns","Cedric Durst"
"Mike Gazella","George Burns"
"Lou Gehrig HOF","George Burns"
"Johnny Grabowski","George Burns"
"George Burns","Fred Heimach"
"Waite Hoyt HOF","George Burns"
"Hank Johnson","George Burns"
"Mark Koenig","George Burns"
"Tony Lazzeri HOF","George Burns"
"George Burns","Bob Meusel"
"Wilcy Moore","George Burns"
"George Burns","Ben Paschal"
"Herb Pennock HOF","George Burns"
"George Pipgras","George Burns"
"George Burns","Gene Robertson"
"George Burns","Babe Ruth HOF"
"Rosy Ryan","George Burns"
"George Burns","Al Shealy"
"Urban Shocker","George Burns"
"Myles Thomas","George Burns"
"Tom Zachary","George Burns"
"Pat Collins","Archie Campbell"
"Earle Combs HOF","Archie Campbell"
"Stan Coveleski HOF","Archie Campbell"
"Bill Dickey HOF","Archie Campbell"
"Joe Dugan","Archie Campbell"
"Leo Durocher HOF","Archie Campbell"
"Cedric Durst","Archie Campbell"
"Mike Gazella","Archie Campbell"
"Lou Gehrig HOF","Archie Campbell"
"Johnny Grabowski","Archie Campbell"
"Fred Heimach","Archie Campbell"
"Waite Hoyt HOF","Archie Campbell"
"Hank Johnson","Archie Campbell"
"Mark Koenig","Archie Campbell"
"Tony Lazzeri HOF","Archie Campbell"
"Bob Meusel","Archie Campbell"
"Wilcy Moore","Archie Campbell"
"Ben Paschal","Archie Campbell"
"Herb Pennock HOF","Archie Campbell"
"George Pipgras","Archie Campbell"
"Gene Robertson","Archie Campbell"
"Babe Ruth HOF","Archie Campbell"
"Rosy Ryan","Archie Campbell"
"Archie Campbell","Al Shealy"
"Urban Shocker","Archie Campbell"
"Myles Thomas","Archie Campbell"
"Tom Zachary","Archie Campbell"
"Stan Coveleski HOF","Pat Collins"
"Pat Collins","Bill Dickey HOF"
"Pat Collins","Leo Durocher HOF"
"Pat Collins","Fred Heimach"
"Pat Collins","Hank Johnson"
"Pat Collins","Gene Robertson"
"Rosy Ryan","Pat Collins"
"Pat Collins","Al Shealy"
"Tom Zachary","Pat Collins"
"Stan Coveleski HOF","Earle Combs HOF"
"Earle Combs HOF","Bill Dickey HOF"
"Leo Durocher HOF","Earle Combs HOF"
"Fred Heimach","Earle Combs HOF"
"Hank Johnson","Earle Combs HOF"
"Gene Robertson","Earle Combs HOF"
"Rosy Ryan","Earle Combs HOF"
"Earle Combs HOF","Al Shealy"
"Tom Zachary","Earle Combs HOF"
"Stan Coveleski HOF","Bill Dickey HOF"
"Stan Coveleski HOF","Joe Dugan"
"Stan Coveleski HOF","Leo Durocher HOF"
"Stan Coveleski HOF","Cedric Durst"
"Stan Coveleski HOF","Mike Gazella"
"Stan Coveleski HOF","Lou Gehrig HOF"
"Stan Coveleski HOF","Johnny Grabowski"
"Stan Coveleski HOF","Fred Heimach"
"Waite Hoyt HOF","Stan Coveleski HOF"
"Stan Coveleski HOF","Hank Johnson"
"Stan Coveleski HOF","Mark Koenig"
"Tony Lazzeri HOF","Stan Coveleski HOF"
"Stan Coveleski HOF","Bob Meusel"
"Wilcy Moore","Stan Coveleski HOF"
"Stan Coveleski HOF","Ben Paschal"
"Stan Coveleski HOF","Herb Pennock HOF"
"Stan Coveleski HOF","George Pipgras"
"Stan Coveleski HOF","Gene Robertson"
"Stan Coveleski HOF","Babe Ruth HOF"
"Stan Coveleski HOF","Rosy Ryan"
"Stan Coveleski HOF","Al Shealy"
"Urban Shocker","Stan Coveleski HOF"
"Stan Coveleski HOF","Myles Thomas"
"Tom Zachary","Stan Coveleski HOF"
"Joe Dugan","Bill Dickey HOF"
"Leo Durocher HOF","Bill Dickey HOF"
"Cedric Durst","Bill Dickey HOF"
"Mike Gazella","Bill Dickey HOF"
"Lou Gehrig HOF","Bill Dickey HOF"
"Johnny Grabowski","Bill Dickey HOF"
"Fred Heimach","Bill Dickey HOF"
"Waite Hoyt HOF","Bill Dickey HOF"
"Hank Johnson","Bill Dickey HOF"
"Mark Koenig","Bill Dickey HOF"
"Tony Lazzeri HOF","Bill Dickey HOF"
"Bob Meusel","Bill Dickey HOF"
"Wilcy Moore","Bill Dickey HOF"
"Bill Dickey HOF","Ben Paschal"
"Herb Pennock HOF","Bill Dickey HOF"
"George Pipgras","Bill Dickey HOF"
"Gene Robertson","Bill Dickey HOF"
"Bill Dickey HOF","Babe Ruth HOF"
"Rosy Ryan","Bill Dickey HOF"
"Bill Dickey HOF","Al Shealy"
"Urban Shocker","Bill Dickey HOF"
"Myles Thomas","Bill Dickey HOF"
"Tom Zachary","Bill Dickey HOF"
"Leo Durocher HOF","Joe Dugan"
"Joe Dugan","Fred Heimach"
"Joe Dugan","Hank Johnson"
"Joe Dugan","Gene Robertson"
"Rosy Ryan","Joe Dugan"
"Joe Dugan","Al Shealy"
"Tom Zachary","Joe Dugan"
"Leo Durocher HOF","Cedric Durst"
"Mike Gazella","Leo Durocher HOF"
"Lou Gehrig HOF","Leo Durocher HOF"
"Leo Durocher HOF","Johnny Grabowski"
"Leo Durocher HOF","Fred Heimach"
"Waite Hoyt HOF","Leo Durocher HOF"
"Leo Durocher HOF","Hank Johnson"
"Mark Koenig","Leo Durocher HOF"
"Tony Lazzeri HOF","Leo Durocher HOF"
"Leo Durocher HOF","Bob Meusel"
"Wilcy Moore","Leo Durocher HOF"
"Leo Durocher HOF","Ben Paschal"
"Leo Durocher HOF","Herb Pennock HOF"
"Leo Durocher HOF","George Pipgras"
"Leo Durocher HOF","Gene Robertson"
"Leo Durocher HOF","Babe Ruth HOF"
"Rosy Ryan","Leo Durocher HOF"
"Leo Durocher HOF","Al Shealy"
